BELGRADE_cloud_cover,BELGRADE_global_radiation,BELGRADE_humidity,BELGRADE_precipitation,BELGRADE_pressure,BELGRADE_sunshine,BELGRADE_temp_max,BELGRADE_temp_mean,BELGRADE_temp_min
8,1.3,0.68,0.0,1.011,1.5,14.1,10.9,6.9
5,1.9,0.58,0.0,1.0112,4.5,14.6,9.5,5.9
8,0.99,0.71,0.38,1.0111,0.4,12.1,6.6,4.7
2,2.79,0.64,0.0,1.0143,10.8,12.8,7.0,1.4
3,2.9,0.49,0.77,1.0155,11.6,15.4,11.1,1.5
8,0.96,0.88,0.0,1.0127,0.3,12.0,7.5,6.5
7,1.05,0.89,0.26,1.0121,0.5,11.8,8.4,4.4
7,1.58,0.83,0.0,1.0107,2.5,14.6,9.6,3.5
5,2.11,0.76,0.27,1.0097,5.0,17.5,11.7,6.1
8,2.03,0.72,0.03,1.0173,4.4,13.6,9.6,5.0
1,3.01,0.57,0.0,1.0256,11.8,15.8,9.7,5.6
8,1.09,0.6,0.1,1.0257,0.4,15.4,12.0,3.8
8,0.78,0.54,0.57,1.0198,0.0,14.3,12.2,9.6
8,0.79,0.74,0.0,1.0191,0.0,13.8,10.0,7.2
8,1.15,0.75,0.0,1.0185,0.5,11.9,10.4,7.4
8,0.79,0.77,0.04,1.0184,0.0,14.5,11.7,9.0
6,1.01,0.8,0.0,1.0174,0.2,17.0,13.4,9.3
6,1.98,0.8,0.41,1.0163,3.8,19.7,13.6,10.8
3,2.91,0.69,0.01,1.015,10.2,21.4,15.4,8.7
1,3.22,0.59,0.0,1.0155,12.8,22.7,16.8,9.7
1,3.21,0.53,0.0,1.0176,12.7,22.4,15.7,8.5
5,1.03,0.73,0.1,1.0186,0.2,16.2,13.7,11.5
3,2.99,0.69,0.0,1.0212,10.6,22.3,15.1,7.4
1,3.23,0.52,0.01,1.0199,12.6,24.2,19.1,9.0
3,2.85,0.61,0.0,1.0157,9.4,28.5,22.6,15.7
6,2.85,0.46,0.03,1.0147,9.3,31.4,24.6,18.8
3,2.62,0.37,0.0,1.0132,7.5,32.3,27.2,21.5
7,1.2,0.57,0.45,1.0117,0.5,29.0,21.0,16.0
2,3.14,0.67,0.0,1.0154,11.5,23.5,18.6,15.0
3,3.22,0.54,0.0,1.0123,12.2,28.0,22.6,13.6
4,2.61,0.61,0.0,1.0152,7.3,23.2,19.2,15.2
5,3.21,0.64,0.0,1.0191,12.0,22.8,17.9,10.5
1,3.2,0.58,0.0,1.0191,11.8,24.8,18.5,10.7
5,2.6,0.47,0.0,1.0194,7.1,21.3,16.7,12.5
5,2.66,0.59,0.28,1.0164,7.5,18.5,12.5,9.7
7,1.97,0.76,0.39,1.0149,3.3,17.9,13.7,8.6
8,0.85,0.96,2.21,1.0113,0.0,14.5,13.2,11.3
8,0.85,0.95,0.24,1.0131,0.0,14.5,13.4,12.6
8,0.85,0.92,0.03,1.0181,0.0,15.9,14.4,12.7
5,2.88,0.71,0.04,1.021,10.2,25.0,18.2,13.1
3,3.17,0.64,0.0,1.0203,12.3,26.5,20.5,12.6
2,2.87,0.61,0.0,1.0201,10.1,27.6,21.2,14.5
2,2.93,0.54,0.0,1.0202,10.5,28.3,22.2,15.4
2,3.34,0.58,0.0,1.0198,13.5,29.0,23.0,15.4
4,2.63,0.6,0.01,1.019,8.4,28.7,23.3,17.9
6,2.54,0.64,0.0,1.018,7.8,28.5,23.3,17.7
4,2.6,0.64,0.04,1.0164,8.2,28.3,22.7,18.6
3,3.15,0.63,0.0,1.0142,12.0,29.6,22.9,17.2
4,2.73,0.49,1.08,1.0114,9.0,30.9,25.3,19.1
7,1.89,0.7,0.06,1.0125,4.0,25.3,18.3,16.3
6,2.59,0.54,0.0,1.0162,8.1,23.0,18.3,11.9
1,3.31,0.59,0.0,1.0152,13.2,26.0,20.2,11.8
4,3.37,0.57,0.0,1.0137,13.6,30.1,24.1,16.7
6,2.92,0.63,0.9,1.0181,10.3,29.8,24.1,18.5
5,1.84,0.81,0.0,1.0253,3.7,23.6,17.4,14.0
5,3.33,0.56,0.0,1.024,13.3,25.0,19.1,14.2
4,2.08,0.8,0.25,1.0228,5.0,22.5,17.2,12.9
1,3.21,0.67,0.0,1.0199,12.4,26.5,20.4,13.5
5,2.88,0.59,0.69,1.0136,10.0,28.4,21.2,15.0
7,2.28,0.65,0.0,1.0164,6.1,20.5,16.2,13.5
4,2.67,0.59,0.02,1.0171,8.6,22.4,17.5,11.7
4,3.13,0.51,0.0,1.0172,11.8,24.6,20.2,14.5
2,2.67,0.54,0.0,1.0173,8.6,26.4,19.7,12.8
2,3.36,0.51,0.0,1.0181,13.6,28.0,22.1,12.2
7,1.39,0.81,0.26,1.0178,1.7,25.4,19.1,13.8
5,1.89,0.67,0.8,1.0151,4.0,27.7,20.5,16.5
1,3.37,0.68,0.0,1.0123,13.7,26.4,21.3,15.1
3,2.68,0.64,0.57,1.0079,8.7,27.8,19.5,13.9
7,1.05,0.68,0.05,1.0124,0.6,18.4,15.7,10.4
4,2.31,0.65,0.0,1.0142,6.4,22.5,17.0,11.1
5,2.69,0.57,1.01,1.0135,8.8,22.5,18.0,8.9
8,1.82,0.75,0.44,1.0097,3.7,21.6,17.5,13.4
6,1.24,0.76,0.52,1.0104,1.2,18.4,15.1,13.5
5,2.51,0.63,0.0,1.0147,7.7,23.0,17.7,12.5
0,3.34,0.53,0.0,1.014,13.6,27.2,21.4,13.3
2,3.27,0.53,0.0,1.0135,13.1,30.5,24.9,18.0
2,3.27,0.54,0.0,1.0097,13.1,32.4,26.5,18.5
