MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
8,0.79,0.88,0.69,1.0112,0.0,9.2,7.9,6.6
2,3.32,0.52,0.0,1.0171,12.8,17.2,11.4,5.6
2,3.12,0.5,0.0,1.0186,11.3,19.7,13.1,6.5
5,2.97,0.54,0.0,1.0197,10.2,20.5,14.1,7.7
6,2.37,0.47,0.0,1.0183,6.4,21.8,16.3,10.8
2,3.39,0.29,0.0,1.0176,13.0,22.6,16.2,9.8
0,3.37,0.42,0.0,1.0166,12.8,23.5,17.0,10.5
4,2.98,0.44,0.0,1.0129,10.1,26.0,18.9,11.8
7,3.34,0.46,0.0,1.0101,12.5,27.2,20.1,13.0
4,2.44,0.38,0.0,1.0085,6.6,24.3,19.8,15.3
7,2.16,0.56,0.85,1.0097,5.0,19.5,15.5,11.5
7,2.03,0.8,0.01,1.0114,4.3,17.6,13.8,10.0
8,0.82,0.81,0.05,1.0142,0.0,15.2,13.4,11.6
7,2.69,0.7,0.0,1.013,8.0,21.1,16.3,11.5
7,1.24,0.83,1.04,1.0162,0.9,16.6,14.4,12.2
5,3.02,0.64,0.0,1.0143,11.4,20.4,14.9,9.4
8,1.3,0.8,1.76,1.0097,1.1,17.0,13.5,10.0
5,2.92,0.75,0.0,1.0098,9.3,14.1,10.5,6.9
7,2.0,0.74,0.0,1.0156,4.0,15.9,11.3,6.7
4,3.3,0.56,0.0,1.0189,11.7,20.2,14.5,8.8
6,3.0,0.66,0.0,1.0167,9.7,21.4,15.7,10.0
4,3.52,0.52,0.0,1.0173,13.2,23.4,17.2,11.0
1,3.58,0.54,0.0,1.0191,13.6,25.2,19.1,13.0
5,3.28,0.48,0.0,1.0206,11.5,27.6,20.9,14.2
1,3.63,0.44,0.0,1.02,13.9,29.0,23.4,17.8
1,3.62,0.46,0.0,1.019,13.8,30.6,24.1,17.6
4,3.08,0.52,0.12,1.0157,10.1,31.9,25.8,19.7
4,3.5,0.59,0.0,1.0141,12.9,27.8,21.9,16.0
1,3.62,0.45,0.0,1.0137,13.7,28.0,21.8,15.6
4,3.44,0.4,0.0,1.0114,12.4,29.6,22.9,16.2
7,1.8,0.73,1.07,1.0157,2.9,22.3,19.0,15.7
6,2.92,0.71,0.72,1.0171,9.9,25.0,19.2,13.4
