BASEL_cloud_cover,BASEL_global_radiation,BASEL_humidity,BASEL_precipitation,BASEL_pressure,BASEL_sunshine,BASEL_temp_max,BASEL_temp_mean,BASEL_temp_min
5,2.2,0.63,0.84,1.018,5.1,21.1,14.8,13.0
7,1.05,0.67,0.05,1.018,0.3,18.4,14.2,11.3
6,0.83,0.73,0.04,1.018,0.0,19.3,14.7,9.4
5,1.13,0.79,0.21,1.018,0.5,19.2,15.9,13.3
6,2.64,0.62,0.34,1.018,8.0,20.2,15.4,11.4
2,3.32,0.55,0.0,1.018,13.1,25.3,17.6,9.8
6,2.54,0.64,0.25,1.018,7.4,26.9,17.9,10.7
5,1.71,0.75,0.3,1.018,2.7,22.5,15.6,11.7
4,3.07,0.62,0.0,1.018,11.3,23.1,16.5,9.1
6,2.63,0.53,0.0,1.018,8.1,26.3,19.7,10.0
8,0.81,0.75,0.0,1.018,0.0,19.3,16.8,15.7
8,0.91,0.83,1.54,1.018,0.1,18.7,15.4,13.4
7,2.11,0.71,0.24,1.018,4.9,24.1,16.5,12.0
4,2.92,0.69,0.0,1.018,10.4,23.5,16.5,9.4
7,1.79,0.63,0.0,1.018,3.2,22.8,16.0,11.8
7,1.74,0.68,0.08,1.018,3.0,18.7,12.8,10.5
1,3.13,0.6,0.0,1.018,12.2,22.9,14.9,8.8
5,2.69,0.6,0.0,1.018,8.9,25.3,17.7,8.4
7,2.27,0.64,0.07,1.018,6.1,24.4,18.4,13.8
8,0.95,0.67,0.0,1.018,0.2,19.8,15.5,12.0
8,1.24,0.7,0.0,1.018,1.0,21.2,16.9,10.2
1,3.31,0.59,0.0,1.018,14.1,29.5,21.1,12.3
7,1.68,0.77,0.39,1.018,2.9,28.5,19.2,15.7
7,1.9,0.74,1.65,1.018,4.1,25.7,17.9,15.4
7,1.3,0.74,0.18,1.018,1.3,21.2,15.4,13.7
6,1.76,0.79,0.86,1.018,3.4,20.2,13.6,11.5
3,2.82,0.67,0.0,1.018,10.5,23.4,15.3,9.0
3,2.93,0.62,0.72,1.018,11.5,26.2,18.5,8.8
8,1.33,0.84,1.23,1.018,1.5,22.4,16.2,14.0
6,2.33,0.67,0.0,1.018,7.1,23.9,17.7,13.8
7,1.94,0.72,0.36,1.018,4.6,24.5,17.6,12.1
8,1.06,0.8,0.93,1.018,0.6,21.0,15.4,13.6
7,2.0,0.7,0.0,1.018,5.1,21.8,16.3,13.2
5,1.76,0.73,0.0,1.018,3.7,22.5,16.0,11.6
7,1.85,0.68,2.41,1.018,4.3,26.5,17.7,11.4
