PCA1,y,V_answers
-1.4343127573081902,0,0
0.031061584789403608,0,0
-0.017380553551410202,0,0
0.31600471217675175,0,0
-0.2568913113901306,0,0
-1.6365864742068548,0,0
0.0892083787139627,0,0
1.4355338085355096,0,0
-1.3794788668637084,0,0
-0.1740869420860702,0,0
-0.2935772966535469,0,0
-0.007349676981339504,0,0
-0.3214057192400085,0,0
0.05713527040782794,0,0
-1.7936198536842838,0,0
-0.09720110163341061,0,0
1.3062872455713816,0,0
0.47003708896666513,0,0
1.3780287735952708,0,0
-0.0940301564559239,0,0
-0.07920962502991527,0,0
1.162868162192295,0,0
0.7821143777137471,0,0
0.8632623891722481,0,0
1.6031413226209048,0,0
-1.248355723410215,0,0
0.6506824173016557,0,0
-0.381009026170927,0,0
0.6917385832812284,0,0
0.8245679000364746,0,0
1.6513132181498977,0,0
1.609184620784903,0,0
0.14263599488607326,0,0
2.1614059213855223,0,0
-0.4940967273502264,0,0
1.1814675827746672,0,0
-0.6210293262073073,0,0
3.142318144779547,0,0
-0.5748998562218237,0,0
0.8808759397997906,0,0
-0.9507536625808696,0,0
0.3819359695564807,0,0
3.2137306722030683,0,0
0.24303841171724982,0,0
2.1266562027133595,0,0
-0.4303871817928578,0,0
4.100274622902557,0,0
-0.17380609177487547,0,0
1.9354156038708923,0,0
4.06019494589666,0,0
1.7923265418863108,0,0
0.8094712319789414,0,0
1.2598824202119017,0,0
1.6026894117049126,0,0
0.07022751856602746,0,0
1.379621241677677,0,0
3.6119655680162492,0,0
1.9287260065766592,0,0
1.1684214329375258,0,0
0.24092253660514598,0,0
0.22288231072720505,0,0
2.1806588264638487,0,0
1.241036942641894,0,0
1.5060352450122283,0,0
1.6560327547686178,0,0
0.8011118331032793,0,0
2.239137626139275,0,0
0.4464545321450193,0,0
1.3143028093006581,0,0
1.748601396888355,0,0
0.8797515280189447,0,0
0.584452854391981,0,0
2.819014756045955,0,0
1.127475063723658,0,0
1.3017944279923856,0,0
2.554100738843635,0,0
3.5806118715121587,0,0
1.148291993533538,0,0
1.9370471148897612,0,0
3.1731476734131494,0,0
1.783510227010159,0,0
4.814848103823526,0,0
2.1681433048064642,0,0
1.3441963389404492,0,0
3.045941358405954,0,0
2.4576047058984716,0,0
1.0897774644904894,0,0
1.157688902386795,0,0
1.623531950479919,0,0
1.687373841970412,0,0
2.3083947978045547,0,0
2.3093507573974312,0,0
1.5305752617234563,0,0
2.899675054488358,0,0
1.0074879827322447,0,0
0.975568203306765,0,0
1.8946218665762844,0,0
0.885495323507687,0,0
3.0823407526469038,0,0
2.0156286830054766,0,0
1.6270934658149465,0,0
0.7031826458469704,0,0
0.9440994604881954,0,0
0.41393442178765616,0,0
1.322783911239733,0,0
1.8943046615048142,0,0
1.3288079066974585,0,0
1.7590509459319459,0,0
2.327837614962573,0,0
2.544751207987182,0,0
1.0033628259918093,0,0
4.148411810215337,0,0
4.782383836944623,0,0
2.7763107953413626,0,0
1.220184280554459,0,0
2.654947587282789,0,0
1.4074198009967247,0,0
1.6161672879968245,0,0
1.536257811451058,0,0
0.32171696548314355,0,0
1.472211419343665,0,0
1.5965109622165115,0,0
1.2663997434598417,0,0
0.771462934729003,0,0
1.148664839972166,0,0
1.0225972430265806,0,0
-0.4293995308651832,0,0
1.0857443406650233,0,0
1.418916514878262,0,0
1.0117410137449285,0,0
0.22584847580045264,0,0
1.3430578957422985,0,0
2.8313887598088185,0,0
2.4203124759628163,0,0
2.9262461735389014,0,0
2.491666195998967,0,0
1.2306078568547911,0,0
2.5097838111462245,0,0
1.1067970230869932,0,0
2.2553634181534417,0,0
0.2557188221495517,0,0
2.1597654972744103,0,0
0.7606074481000011,0,0
1.5037729290058832,0,0
0.08642698287068688,0,0
1.9363218519026184,0,0
3.3837948630527164,0,0
1.8657276068055397,0,0
1.978911772627074,0,0
2.4596241254679447,0,0
1.2417584397880326,0,0
-0.06267988519318556,0,0
3.3940728458127016,0,0
1.6526580303492109,0,0
2.26757568250222,0,0
-0.7509993395367964,0,0
-0.14000437866929985,0,0
0.4634076055749393,0,0
-0.31785519549020513,0,0
-0.11361125477408407,0,0
0.36394033007927834,0,0
0.41490254089252343,0,0
0.8424973398789984,0,0
1.0299639238378073,0,0
1.209486692455955,0,0
0.5235601907201478,0,0
0.6187428411032316,0,0
-0.5404400994051931,0,0
1.9334148843118704,0,0
1.7355731694669296,0,0
-0.1356555228548686,0,0
-0.44986329484621146,0,0
-0.616474774109284,0,0
-0.6606511861319286,0,0
-0.26032898210435157,0,0
1.5102090151815828,0,0
-0.32891600925667164,0,0
4.13902357386455,0,0
1.2474328122966776,0,0
1.0345491880049829,0,0
1.8469572665656806,0,0
1.0202071436939422,0,0
0.8905408877329785,0,0
1.218846966451203,0,0
-0.17314651474328896,0,0
0.8278695337230444,0,0
2.34171092571108,0,0
1.5167738835994287,0,0
1.3480951811528623,0,0
-0.34513515388752486,0,0
1.0547408364881934,0,0
1.332063028040889,0,0
1.225953091722836,0,0
1.2093180588446972,0,0
0.733261371133036,0,0
-0.06688519949914587,0,0
0.3520034284855392,0,0
1.9883282063499903,0,0
-0.09663918688250205,0,0
0.3832959662838901,0,0
-0.481920734389147,0,0
1.836007326799258,0,0
-0.42630860595786263,0,0
1.331566605958628,0,0
0.07518327229034721,0,0
0.401374916097858,0,0
0.37459546198440974,0,0
1.1403677220071662,0,0
1.0539718423137256,0,0
0.11162600531764276,0,0
2.4554058295360632,0,0
-0.2339157654953036,0,0
-1.1365642306581207,0,0
1.1349713826229182,0,0
1.3086119165348016,0,0
0.2593633029508393,0,0
-0.40686274101805625,0,0
-0.07978033643583564,0,0
-0.17075638094250659,0,0
0.5266557335063389,0,0
-0.19346860743267552,0,0
-0.9687162178707176,0,0
-1.020457222023939,0,0
2.9751858785660734,0,0
-1.2817241452068555,0,0
1.0747814679175849,0,0
1.6455455706587476,0,0
-0.15718550759754835,0,0
-1.7255924783144077,0,0
1.0632901381506734,0,0
0.2546287892955851,0,0
-0.8704182538183499,0,0
-1.2838240251017183,0,0
-2.1717165895363566,0,0
-0.746417007351852,0,0
-1.522028937434336,0,0
-0.25698488465928654,0,0
-1.2632786579992625,0,0
-2.332722554211383,0,0
-1.72439670442767,0,0
-2.126138222600447,0,0
-0.28848206682920013,0,0
-1.3446196297715787,0,0
-1.2566508584458251,0,1
-3.6024562486711793,0,1
-1.8151083820121023,0,0
-1.7396887831139876,0,0
-1.7976726837952617,0,0
0.3626037521116117,0,0
-1.7529857314374007,0,0
-1.244971996058479,0,0
-1.4090350189524388,0,0
-1.8390293248856562,0,0
-3.654078181325399,0,1
-4.4128416955252465,0,1
-3.7828990532605364,0,1
-2.637618548933851,0,0
0.5707905566458559,0,0
0.6758005698662706,0,0
0.7632758035403988,0,0
-2.1084678122354266,0,0
-0.5075664437845342,0,0
-1.826552386429735,0,0
-1.2790537809602183,0,0
-0.9459997646090245,0,0
-1.6812925221187822,0,0
-3.181706260884568,0,0
-1.5690310469953077,0,0
-1.6664250502811189,0,0
-0.5020500453872192,0,0
-2.0537770088511116,0,0
-2.5776152051221515,0,0
-1.2612469189076887,0,0
-1.3835264621470795,0,0
-0.7327215361529558,0,0
0.18333252911298314,0,0
-0.5000112861972487,0,0
0.1612765173365109,0,0
-0.6218486128332636,0,0
-0.23327462293424991,0,0
-2.310949454985176,0,0
0.9281905930394443,0,0
0.3658152027974931,0,0
-1.8822180694866217,0,0
-2.6302389418807786,0,0
-0.5611781771617799,0,0
-0.7809937567811344,0,0
-2.3462416641159036,0,0
-2.575413649078823,0,1
-1.615512257009399,0,0
-1.2344147094527778,0,0
1.2763460136850673,0,0
-1.609562789423693,0,0
-1.7081036268344634,0,1
-2.1288448556968684,0,1
-1.152519025186205,0,0
-0.38232826417022137,0,0
